Ticker,DateAdded,DateRemoved
A,1900-01-01,9999-12-31
AA,1900-01-01,9999-12-31
AAL,1900-01-01,9999-12-31
AAOI,1900-01-01,9999-12-31
AAON,1900-01-01,9999-12-31
AAPL,1900-01-01,9999-12-31
ABBV,1900-01-01,9999-12-31
ABNB,1900-01-01,9999-12-31
ABT,1900-01-01,9999-12-31
ACGL,1900-01-01,9999-12-31
ACI,1900-01-01,9999-12-31
ACM,1900-01-01,9999-12-31
ACN,1900-01-01,9999-12-31
ADBE,1900-01-01,9999-12-31
ADC,1900-01-01,9999-12-31
ADI,1900-01-01,9999-12-31
ADM,1900-01-01,9999-12-31
ADP,1900-01-01,9999-12-31
ADSK,1900-01-01,9999-12-31
ADT,1900-01-01,9999-12-31
AEE,1900-01-01,9999-12-31
AEIS,1900-01-01,9999-12-31
AEP,1900-01-01,9999-12-31
AES,1900-01-01,9999-12-31
AFG,1900-01-01,9999-12-31
AFL,1900-01-01,9999-12-31
AFRM,1900-01-01,9999-12-31
AGCO,1900-01-01,9999-12-31
AGNC,1900-01-01,9999-12-31
AGO,1900-01-01,9999-12-31
AHR,1900-01-01,9999-12-31
AIG,1900-01-01,9999-12-31
AIT,1900-01-01,9999-12-31
AIZ,1900-01-01,9999-12-31
AJG,1900-01-01,9999-12-31
AKAM,1900-01-01,9999-12-31
ALAB,1900-01-01,9999-12-31
ALB,1900-01-01,9999-12-31
ALGM,1900-01-01,9999-12-31
ALGN,1900-01-01,9999-12-31
ALK,1900-01-01,9999-12-31
ALL,1900-01-01,9999-12-31
ALLE,1900-01-01,9999-12-31
ALLY,1900-01-01,9999-12-31
ALM,1900-01-01,9999-12-31
ALNY,1900-01-01,9999-12-31
ALSN,1900-01-01,9999-12-31
ALXN,1900-01-01,9999-12-31
AM,1900-01-01,9999-12-31
AMAT,1900-01-01,9999-12-31
AMCR,1900-01-01,9999-12-31
AMD,1900-01-01,9999-12-31
AME,1900-01-01,9999-12-31
AMG,1900-01-01,9999-12-31
AMGN,1900-01-01,9999-12-31
AMH,1900-01-01,9999-12-31
AMKR,1900-01-01,9999-12-31
AMP,1900-01-01,9999-12-31
AMT,1900-01-01,9999-12-31
AMTM,1900-01-01,9999-12-31
AMZN,1900-01-01,9999-12-31
AN,1900-01-01,9999-12-31
ANET,1900-01-01,9999-12-31
AON,1900-01-01,9999-12-31
AOS,1900-01-01,9999-12-31
APA,1900-01-01,9999-12-31
APD,1900-01-01,9999-12-31
APG,1900-01-01,9999-12-31
APH,1900-01-01,9999-12-31
APLD,1900-01-01,9999-12-31
APO,1900-01-01,9999-12-31
APP,1900-01-01,9999-12-31
APPF,1900-01-01,9999-12-31
APTV,1900-01-01,9999-12-31
AR,1900-01-01,9999-12-31
ARE,1900-01-01,9999-12-31
ARES,1900-01-01,9999-12-31
ARMK,1900-01-01,9999-12-31
ARW,1900-01-01,9999-12-31
ARWR,1900-01-01,9999-12-31
AS,1900-01-01,9999-12-31
ASH,1900-01-01,9999-12-31
ASND,1900-01-01,9999-12-31
ASTS,1900-01-01,9999-12-31
ATI,1900-01-01,9999-12-31
ATO,1900-01-01,9999-12-31
ATR,1900-01-01,9999-12-31
ATVI,1900-01-01,9999-12-31
AU,1900-01-01,9999-12-31
AUGO,1900-01-01,9999-12-31
AUR,1900-01-01,9999-12-31
AVAV,1900-01-01,9999-12-31
AVB,1900-01-01,9999-12-31
AVGO,1900-01-01,9999-12-31
AVT,1900-01-01,9999-12-31
AVTR,1900-01-01,9999-12-31
AVY,1900-01-01,9999-12-31
AWI,1900-01-01,9999-12-31
AWK,1900-01-01,9999-12-31
AXON,1900-01-01,9999-12-31
AXP,1900-01-01,9999-12-31
AXS,1900-01-01,9999-12-31
AXSM,1900-01-01,9999-12-31
AXTA,1900-01-01,9999-12-31
AYI,1900-01-01,9999-12-31
AZO,1900-01-01,9999-12-31
BA,1900-01-01,9999-12-31
BAC,1900-01-01,9999-12-31
BAH,1900-01-01,9999-12-31
BALL,1900-01-01,9999-12-31
BAM,1900-01-01,9999-12-31
BAX,1900-01-01,9999-12-31
BBBY,1900-01-01,9999-12-31
BBIO,1900-01-01,9999-12-31
BBWI,1900-01-01,9999-12-31
BBY,1900-01-01,9999-12-31
BC,1900-01-01,9999-12-31
BDX,1900-01-01,9999-12-31
BE,1900-01-01,9999-12-31
BEN,1900-01-01,9999-12-31
BEPC,1900-01-01,9999-12-31
BF-A,1900-01-01,9999-12-31
BF-B,1900-01-01,9999-12-31
BFAM,1900-01-01,9999-12-31
BG,1900-01-01,9999-12-31
BHF,1900-01-01,9999-12-31
BIIB,1900-01-01,9999-12-31
BILL,1900-01-01,9999-12-31
BIO,1900-01-01,9999-12-31
BIRK,1900-01-01,9999-12-31
BJ,1900-01-01,9999-12-31
BKNG,1900-01-01,9999-12-31
BKR,1900-01-01,9999-12-31
BLDR,1900-01-01,9999-12-31
BLK,1900-01-01,9999-12-31
BLSH,1900-01-01,9999-12-31
BMNR,1900-01-01,9999-12-31
BMRN,1900-01-01,9999-12-31
BMY,1900-01-01,9999-12-31
BNY,1900-01-01,9999-12-31
BOKF,1900-01-01,9999-12-31
BPOP,1900-01-01,9999-12-31
BR,1900-01-01,9999-12-31
BRK-B,1900-01-01,9999-12-31
BRKR,1900-01-01,9999-12-31
BRO,1900-01-01,9999-12-31
BROS,1900-01-01,9999-12-31
BRX,1900-01-01,9999-12-31
BSX,1900-01-01,9999-12-31
BSY,1900-01-01,9999-12-31
BURL,1900-01-01,9999-12-31
BWA,1900-01-01,9999-12-31
BWXT,1900-01-01,9999-12-31
BX,1900-01-01,9999-12-31
BXP,1900-01-01,9999-12-31
BYD,1900-01-01,9999-12-31
C,1900-01-01,9999-12-31
CACC,1900-01-01,9999-12-31
CACI,1900-01-01,9999-12-31
CAG,1900-01-01,9999-12-31
CAH,1900-01-01,9999-12-31
CAI,1900-01-01,9999-12-31
CAR,1900-01-01,9999-12-31
CARR,1900-01-01,9999-12-31
CART,1900-01-01,9999-12-31
CASY,1900-01-01,9999-12-31
CAT,1900-01-01,9999-12-31
CAVA,1900-01-01,9999-12-31
CB,1900-01-01,9999-12-31
CBC,1900-01-01,9999-12-31
CBOE,1900-01-01,9999-12-31
CBRE,1900-01-01,9999-12-31
CBSH,1900-01-01,9999-12-31
CCC,1900-01-01,9999-12-31
CCI,1900-01-01,9999-12-31
CCK,1900-01-01,9999-12-31
CCL,1900-01-01,9999-12-31
CDE,1900-01-01,9999-12-31
CDNS,1900-01-01,9999-12-31
CDW,1900-01-01,9999-12-31
CE,1900-01-01,9999-12-31
CEG,1900-01-01,9999-12-31
CELG,1900-01-01,9999-12-31
CELH,1900-01-01,9999-12-31
CF,1900-01-01,9999-12-31
CFG,1900-01-01,9999-12-31
CFR,1900-01-01,9999-12-31
CG,1900-01-01,9999-12-31
CGNX,1900-01-01,9999-12-31
CHD,1900-01-01,9999-12-31
CHDN,1900-01-01,9999-12-31
CHE,1900-01-01,9999-12-31
CHH,1900-01-01,9999-12-31
CHRD,1900-01-01,9999-12-31
CHRW,1900-01-01,9999-12-31
CHTR,1900-01-01,9999-12-31
CHWY,1900-01-01,9999-12-31
CHYM,1900-01-01,9999-12-31
CI,1900-01-01,9999-12-31
CIEN,1900-01-01,9999-12-31
CINF,1900-01-01,9999-12-31
CL,1900-01-01,9999-12-31
CLF,1900-01-01,9999-12-31
CLH,1900-01-01,9999-12-31
CLX,1900-01-01,9999-12-31
CMCSA,1900-01-01,9999-12-31
CME,1900-01-01,9999-12-31
CMG,1900-01-01,9999-12-31
CMI,1900-01-01,9999-12-31
CMS,1900-01-01,9999-12-31
CNA,1900-01-01,9999-12-31
CNC,1900-01-01,9999-12-31
CNH,1900-01-01,9999-12-31
CNM,1900-01-01,9999-12-31
CNP,1900-01-01,9999-12-31
COF,1900-01-01,9999-12-31
COHR,1900-01-01,9999-12-31
COIN,1900-01-01,9999-12-31
COKE,1900-01-01,9999-12-31
COLB,1900-01-01,9999-12-31
COLD,1900-01-01,9999-12-31
COLM,1900-01-01,9999-12-31
COO,1900-01-01,9999-12-31
COP,1900-01-01,9999-12-31
COR,1900-01-01,9999-12-31
CORT,1900-01-01,9999-12-31
COST,1900-01-01,9999-12-31
CPAY,1900-01-01,9999-12-31
CPB,1900-01-01,9999-12-31
CPNG,1900-01-01,9999-12-31
CPRT,1900-01-01,9999-12-31
CPT,1900-01-01,9999-12-31
CR,1900-01-01,9999-12-31
CRBG,1900-01-01,9999-12-31
CRCL,1900-01-01,9999-12-31
CRDO,1900-01-01,9999-12-31
CRH,1900-01-01,9999-12-31
CRL,1900-01-01,9999-12-31
CRM,1900-01-01,9999-12-31
CROX,1900-01-01,9999-12-31
CRS,1900-01-01,9999-12-31
CRUS,1900-01-01,9999-12-31
CRWD,1900-01-01,9999-12-31
CRWV,1900-01-01,9999-12-31
CSCO,1900-01-01,9999-12-31
CSGP,1900-01-01,9999-12-31
CSL,1900-01-01,9999-12-31
CSX,1900-01-01,9999-12-31
CTAS,1900-01-01,9999-12-31
CTSH,1900-01-01,9999-12-31
CTVA,1900-01-01,9999-12-31
CUBE,1900-01-01,9999-12-31
CUZ,1900-01-01,9999-12-31
CVNA,1900-01-01,9999-12-31
CVS,1900-01-01,9999-12-31
CVX,1900-01-01,9999-12-31
CW,1900-01-01,9999-12-31
CWEN,1900-01-01,9999-12-31
CZR,1900-01-01,9999-12-31
D,1900-01-01,9999-12-31
DAL,1900-01-01,9999-12-31
DAR,1900-01-01,9999-12-31
DASH,1900-01-01,9999-12-31
DBX,1900-01-01,9999-12-31
DCI,1900-01-01,9999-12-31
DD,1900-01-01,9999-12-31
DDOG,1900-01-01,9999-12-31
DDS,1900-01-01,9999-12-31
DE,1900-01-01,9999-12-31
DECK,1900-01-01,9999-12-31
DELL,1900-01-01,9999-12-31
DG,1900-01-01,9999-12-31
DGX,1900-01-01,9999-12-31
DHI,1900-01-01,9999-12-31
DHR,1900-01-01,9999-12-31
DINO,1900-01-01,9999-12-31
DIS,1900-01-01,9999-12-31
DISH,1900-01-01,9999-12-31
DKNG,1900-01-01,9999-12-31
DKS,1900-01-01,9999-12-31
DLB,1900-01-01,9999-12-31
DLR,1900-01-01,9999-12-31
DLTR,1900-01-01,9999-12-31
DOC,1900-01-01,9999-12-31
DOCN,1900-01-01,9999-12-31
DOCS,1900-01-01,9999-12-31
DOCU,1900-01-01,9999-12-31
DOV,1900-01-01,9999-12-31
DOW,1900-01-01,9999-12-31
DOX,1900-01-01,9999-12-31
DPZ,1900-01-01,9999-12-31
DRE,1900-01-01,9999-12-31
DRI,1900-01-01,9999-12-31
DRS,1900-01-01,9999-12-31
DT,1900-01-01,9999-12-31
DTE,1900-01-01,9999-12-31
DTM,1900-01-01,9999-12-31
DUK,1900-01-01,9999-12-31
DUOL,1900-01-01,9999-12-31
DVA,1900-01-01,9999-12-31
DVN,1900-01-01,9999-12-31
DXCM,1900-01-01,9999-12-31
EA,1900-01-01,9999-12-31
EBAY,1900-01-01,9999-12-31
ECG,1900-01-01,9999-12-31
ECHO,1900-01-01,9999-12-31
ECL,1900-01-01,9999-12-31
ED,1900-01-01,9999-12-31
EEFT,1900-01-01,9999-12-31
EFX,1900-01-01,9999-12-31
EG,1900-01-01,9999-12-31
EGP,1900-01-01,9999-12-31
EHC,1900-01-01,9999-12-31
EIX,1900-01-01,9999-12-31
EL,1900-01-01,9999-12-31
ELAN,1900-01-01,9999-12-31
ELF,1900-01-01,9999-12-31
ELS,1900-01-01,9999-12-31
ELV,1900-01-01,9999-12-31
EME,1900-01-01,9999-12-31
EMN,1900-01-01,9999-12-31
EMR,1900-01-01,9999-12-31
ENPH,1900-01-01,9999-12-31
ENTG,1900-01-01,9999-12-31
EOG,1900-01-01,9999-12-31
EPAM,1900-01-01,9999-12-31
EPR,1900-01-01,9999-12-31
EQH,1900-01-01,9999-12-31
EQIX,1900-01-01,9999-12-31
EQR,1900-01-01,9999-12-31
EQT,1900-01-01,9999-12-31
ERIE,1900-01-01,9999-12-31
ES,1900-01-01,9999-12-31
ESAB,1900-01-01,9999-12-31
ESI,1900-01-01,9999-12-31
ESS,1900-01-01,9999-12-31
ESTC,1900-01-01,9999-12-31
ETN,1900-01-01,9999-12-31
ETR,1900-01-01,9999-12-31
ETSY,1900-01-01,9999-12-31
EVR,1900-01-01,9999-12-31
EVRG,1900-01-01,9999-12-31
EW,1900-01-01,9999-12-31
EWBC,1900-01-01,9999-12-31
EXC,1900-01-01,9999-12-31
EXE,1900-01-01,9999-12-31
EXEL,1900-01-01,9999-12-31
EXLS,1900-01-01,9999-12-31
EXP,1900-01-01,9999-12-31
EXPD,1900-01-01,9999-12-31
EXPE,1900-01-01,9999-12-31
EXR,1900-01-01,9999-12-31
F,1900-01-01,9999-12-31
FAF,1900-01-01,9999-12-31
FANG,1900-01-01,9999-12-31
FAST,1900-01-01,9999-12-31
FBIN,1900-01-01,9999-12-31
FCN,1900-01-01,9999-12-31
FCNCA,1900-01-01,9999-12-31
FCX,1900-01-01,9999-12-31
FDS,1900-01-01,9999-12-31
FDX,1900-01-01,9999-12-31
FDXF,1900-01-01,9999-12-31
FE,1900-01-01,9999-12-31
FERG,1900-01-01,9999-12-31
FFIV,1900-01-01,9999-12-31
FHB,1900-01-01,9999-12-31
FHN,1900-01-01,9999-12-31
FICO,1900-01-01,9999-12-31
FIGR,1900-01-01,9999-12-31
FIS,1900-01-01,9999-12-31
FISV,1900-01-01,9999-12-31
FITB,1900-01-01,9999-12-31
FIVE,1900-01-01,9999-12-31
