Date,Portfolio Value,Cash
2020-01-02,30000.0,0.0
2020-01-03,29808.36,0.0
2020-01-06,29816.96,0.0
2020-01-07,29804.03,0.0
2020-01-08,29919.63,0.0
2020-01-09,30124.89,0.0
2020-01-10,30279.35,0.0
2020-01-13,30823.28,0.0
2020-01-14,30674.01,0.0
2020-01-15,30599.14,0.0
2020-01-16,30947.27,0.0
2020-01-17,31037.51,0.0
2020-01-21,31008.33,0.0
2020-01-22,31127.04,0.0
2020-01-23,31281.7,0.0
2020-01-24,30827.51,0.0
2020-01-27,30353.14,0.0
2020-01-28,30835.59,0.0
2020-01-29,30691.23,0.0
2020-01-30,30714.07,0.0
2020-01-31,30037.35,0.0
2020-02-03,30513.25,0.0
2020-02-04,31125.99,0.0
2020-02-05,31014.12,0.0
2020-02-06,30906.95,0.0
2020-02-07,30720.5,0.0
2020-02-10,31132.66,0.0
2020-02-11,31272.28,0.0
2020-02-12,31573.6,0.0
2020-02-13,31583.66,0.0
2020-02-14,31473.38,0.0
2020-02-18,31187.71,0.0
2020-02-19,31324.43,0.0
2020-02-20,31138.37,0.0
2020-02-21,30606.11,0.0
2020-02-24,29680.31,0.0
2020-02-25,28623.91,0.0
2020-02-26,28444.25,0.0
2020-02-27,27385.05,0.0
2020-02-28,27408.76,0.0
2020-03-02,28567.74,0.0
2020-03-03,28060.06,0.0
2020-03-04,29134.13,0.0
2020-03-05,28254.4,0.0
2020-03-06,27426.52,0.0
2020-03-09,25244.74,0.0
2020-03-10,26508.02,0.0
2020-03-11,25433.45,0.0
2020-03-12,23214.7,0.0
2020-03-13,24544.71,0.0
2020-03-16,21188.19,0.0
2020-03-17,22596.08,0.0
2020-03-18,20629.57,0.0
2020-03-19,21271.95,0.0
2020-03-20,20668.96,0.0
2020-03-23,20642.41,0.0
2020-03-24,22721.0,0.0
2020-03-25,23163.07,0.0
2020-03-26,24652.37,0.0
2020-03-27,23751.56,0.0
2020-03-30,24471.23,0.0
2020-03-31,24106.36,0.0
2020-04-01,23002.98,0.0
2020-04-02,23327.59,0.0
2020-04-03,22858.21,0.0
2020-04-06,24765.32,0.0
2020-04-07,24775.28,0.0
2020-04-08,25820.73,0.0
2020-04-09,26237.31,0.0
2020-04-13,25941.38,0.0
2020-04-14,27073.54,0.0
2020-04-15,26469.2,0.0
2020-04-16,26550.53,0.0
2020-04-17,27359.76,0.0
2020-04-20,26873.22,0.0
