Date,Ticker,Action,Price,Shares,Portfolio Value
2020-01-02,TTD,BUY,27.15,55.258794,30000.0
2020-01-02,TER,BUY,67.88,22.097617,30000.0
2020-01-02,TGT,BUY,105.47,14.221382,30000.0
2020-01-02,TDG,BUY,471.62,3.180508,30000.0
2020-01-02,TSN,BUY,74.11,20.240335,30000.0
2020-01-02,SNPS,BUY,142.87,10.499055,30000.0
2020-01-02,VEEV,BUY,143.4,10.460251,30000.0
2020-01-02,TDY,BUY,357.49,4.195922,30000.0
2020-01-02,SYF,BUY,30.9,48.540124,30000.0
2020-01-02,STX,BUY,48.64,30.841581,30000.0
2020-01-02,NOW,BUY,58.25,25.751957,30000.0
2020-01-02,ZBRA,BUY,259.14,5.788377,30000.0
2020-01-02,SPGI,BUY,248.91,6.026252,30000.0
2020-01-02,TYL,BUY,306.24,4.898119,30000.0
2020-01-02,SMCI,BUY,2.36,634.786311,30000.0
2020-01-02,WST,BUY,149.06,10.063142,30000.0
2020-01-02,SHW,BUY,179.86,8.33989,30000.0
2020-01-02,URI,BUY,162.64,9.223099,30000.0
2020-01-02,SWKS,BUY,103.2,14.534775,30000.0
2020-01-02,SO,BUY,48.88,30.688501,30000.0
2020-02-03,NOW,SELL,68.64,25.751957,30513.25
2020-02-03,SO,SELL,55.19,30.688501,30513.25
2020-02-03,SYF,SELL,27.67,48.540124,30513.25
2020-02-03,VEEV,SELL,148.59,10.460251,30513.25
2020-02-03,URI,SELL,134.54,9.223099,30513.25
2020-02-03,TDG,SELL,542.14,0.366343,30513.25
2020-02-03,SMCI,SELL,2.87,102.454731,30513.25
2020-02-03,TYL,SELL,329.27,0.26465,30513.25
2020-02-03,TDY,SELL,369.34,0.065142,30513.25
2020-02-03,SNPS,SELL,150.26,0.345573,30513.25
2020-02-03,SPGI,SELL,264.88,0.266526,30513.25
2020-02-03,WST,SELL,155.65,0.261333,30513.25
2020-02-03,TER,BUY,66.05,1.001269,30513.25
2020-02-03,TTD,BUY,27.4,0.418246,30513.25
2020-02-03,TGT,BUY,94.13,1.986624,30513.25
2020-02-03,SWKS,BUY,97.57,1.102028,30513.25
2020-02-03,ZTS,BUY,127.02,12.011004,30513.25
2020-02-03,TSN,BUY,68.59,2.0027,30513.25
2020-02-03,ZBRA,BUY,242.55,0.501717,30513.25
2020-02-03,WDC,BUY,49.94,30.551066,30513.25
2020-02-03,VMC,BUY,136.79,11.153243,30513.25
2020-02-03,STX,BUY,46.59,1.907999,30513.25
2020-02-03,V,BUY,191.68,7.959402,30513.25
2020-02-03,SHW,BUY,180.82,0.09753,30513.25
2020-02-03,SW,BUY,27.47,55.539353,30513.25
2020-03-02,ZBRA,SELL,221.71,6.290094,28567.74
2020-03-02,VMC,SELL,119.4,11.153243,28567.74
2020-03-02,SW,SELL,25.58,55.539353,28567.74
2020-03-02,SHW,SELL,169.75,8.43742,28567.74
2020-03-02,TGT,SELL,91.76,0.641965,28567.74
2020-03-02,TDY,SELL,345.9,0.0013,28567.74
2020-03-02,TYL,SELL,331.66,0.326687,28567.74
2020-03-02,WST,SELL,153.88,0.519402,28567.74
2020-03-02,SNPS,SELL,141.63,0.068139,28567.74
2020-03-02,SPGI,SELL,259.79,0.261383,28567.74
2020-03-02,ZTS,SELL,130.2,1.040245,28567.74
2020-03-02,TTD,SELL,28.81,6.099198,28567.74
2020-03-02,V,SELL,183.85,0.190176,28567.74
2020-03-02,TSLA,BUY,49.57,28.812845,28567.74
2020-03-02,TER,BUY,59.01,1.105016,28567.74
2020-03-02,TDG,BUY,472.47,0.209066,28567.74
2020-03-02,SMCI,BUY,2.62,13.896807,28567.74
2020-03-02,SWKS,BUY,88.78,0.451379,28567.74
2020-03-02,SO,BUY,50.35,28.369353,28567.74
2020-03-02,TTWO,BUY,112.06,12.746629,28567.74
2020-03-02,WDC,BUY,44.59,1.482182,28567.74
2020-03-02,STX,BUY,40.49,2.526049,28567.74
2020-03-02,SBAC,BUY,260.7,5.478975,28567.74
2020-03-02,TSN,BUY,58.45,2.194724,28567.74
2020-04-01,SMCI,SELL,2.05,546.228387,23002.98
2020-04-01,TTWO,SELL,116.33,12.746629,23002.98
2020-04-01,TSN,SELL,45.86,24.437759,23002.98
2020-04-01,V,SELL,146.36,7.769226,23002.98
2020-04-01,STX,SELL,39.1,35.275629,23002.98
2020-04-01,WDC,SELL,28.72,32.033248,23002.98
2020-04-01,SNPS,SELL,125.96,10.085343,23002.98
2020-04-01,TYL,SELL,291.58,0.362241,23002.98
2020-04-01,TER,SELL,50.87,1.593615,23002.98
2020-04-01,WST,SELL,147.3,1.474338,23002.98
2020-04-01,SBAC,SELL,238.61,0.658797,23002.98
2020-04-01,ZTS,SELL,104.9,0.006718,23002.98
2020-04-01,TGT,SELL,80.16,1.217897,23002.98
2020-04-01,SPGI,SELL,210.42,0.032269,23002.98
2020-04-01,TSLA,BUY,32.1,7.012878,23002.98
2020-04-01,TTD,BUY,17.23,17.17486,23002.98
2020-04-01,TDY,BUY,277.11,0.021034,23002.98
2020-04-01,TDG,BUY,226.52,2.054259,23002.98
2020-04-01,NOW,BUY,54.61,21.059601,23002.98
2020-04-01,TMUS,BUY,81.41,14.127978,23002.98
2020-04-01,STE,BUY,130.14,8.837454,23002.98
2020-04-01,SWKS,BUY,70.21,0.294454,23002.98
2020-04-01,VRTX,BUY,225.48,5.100892,23002.98
2020-04-01,SO,BUY,39.49,0.756453,23002.98
2020-04-01,WRB,BUY,19.5,58.972933,23002.98
2020-04-01,SHW,BUY,134.01,8.582775,23002.98
2020-04-01,TT,BUY,74.54,15.430632,23002.98
2020-05-01,TTD,SELL,27.89,66.752702,27158.58
2020-05-01,NOW,SELL,67.9,21.059601,27158.58
2020-05-01,WRB,SELL,19.97,58.972933,27158.58
2020-05-01,SWKS,SELL,84.15,16.382635,27158.58
2020-05-01,TT,SELL,79.99,15.430632,27158.58
2020-05-01,SHW,SELL,166.0,8.582775,27158.58
2020-05-01,TDG,SELL,290.44,5.07749,27158.58
2020-05-01,TSLA,SELL,46.75,6.782017,27158.58
2020-05-01,WST,SELL,188.62,0.608872,27158.58
2020-05-01,SPGI,SELL,256.87,0.179565,27158.58
2020-05-01,SBAC,BUY,262.7,0.349043,27158.58
2020-05-01,VRTX,BUY,254.9,0.226408,27158.58
2020-05-01,TYL,BUY,314.78,0.369358,27158.58
2020-05-01,TGT,BUY,91.06,0.563549,27158.58
2020-05-01,TTWO,BUY,122.65,11.071576,27158.58
2020-05-01,WEC,BUY,72.09,18.835742,27158.58
2020-05-01,TDY,BUY,319.83,0.095269,27158.58
2020-05-01,ZTS,BUY,119.73,0.377882,27158.58
2020-05-01,WMT,BUY,37.67,36.04778,27158.58
2020-05-01,TMUS,BUY,82.43,2.345233,27158.58
2020-05-01,XEL,BUY,51.26,26.488821,27158.58
2020-05-01,SO,BUY,42.85,2.563037,27158.58
2020-05-01,TER,BUY,56.44,1.449769,27158.58
2020-05-01,VEEV,BUY,187.77,7.231873,27158.58
2020-05-01,UNH,BUY,255.66,5.311544,27158.58
2020-05-01,STX,BUY,38.98,34.840984,27158.58
2020-05-01,STE,BUY,133.64,1.323497,27158.58
2020-06-01,TMUS,SELL,95.34,16.473211,30470.05
2020-06-01,WEC,SELL,76.47,18.835742,30470.05
2020-06-01,STE,SELL,156.56,10.160951,30470.05
2020-06-01,WMT,SELL,38.16,36.04778,30470.05
2020-06-01,UNH,SELL,274.9,5.311544,30470.05
2020-06-01,XEL,SELL,54.21,26.488821,30470.05
2020-06-01,SO,SELL,45.98,31.688843,30470.05
2020-06-01,TTWO,SELL,136.22,11.071576,30470.05
2020-06-01,TSLA,SELL,59.87,3.598276,30470.05
2020-06-01,TER,SELL,65.63,0.84537,30470.05
2020-06-01,VRTX,SELL,286.64,0.012262,30470.05
2020-06-01,TYL,SELL,375.85,0.260412,30470.05
2020-06-01,TDY,SELL,365.14,0.073404,30470.05
2020-06-01,VEEV,SELL,218.96,0.273969,30470.05
2020-06-01,SPGI,SELL,294.53,0.113868,30470.05
2020-06-01,WST,BUY,208.8,0.097292,30470.05
2020-06-01,SWKS,BUY,101.81,14.964099,30470.05
2020-06-01,TTD,BUY,31.03,49.096151,30470.05
2020-06-01,ZBRA,BUY,264.97,5.749718,30470.05
2020-06-01,SBAC,BUY,291.48,0.057524,30470.05
2020-06-01,TGT,BUY,101.07,0.161802,30470.05
2020-06-01,SNPS,BUY,182.6,8.343388,30470.05
2020-06-01,WSM,BUY,36.15,42.144705,30470.05
2020-06-01,SHW,BUY,184.1,8.275366,30470.05
2020-06-01,TMO,BUY,343.53,4.434891,30470.05
2020-06-01,WDC,BUY,32.41,47.001437,30470.05
2020-06-01,ZTS,BUY,129.88,0.388607,30470.05
2020-06-01,STX,BUY,42.6,0.920172,30470.05
2020-07-01,TMO,SELL,354.02,4.434891,31698.07
2020-07-01,STX,SELL,39.14,35.761156,31698.07
2020-07-01,ZBRA,SELL,251.23,5.749718,31698.07
2020-07-01,ZTS,SELL,128.8,11.730529,31698.07
2020-07-01,WDC,SELL,31.94,47.001437,31698.07
2020-07-01,TSLA,SELL,74.64,4.212027,31698.07
2020-07-01,WST,SELL,221.45,0.139459,31698.07
2020-07-01,SWKS,SELL,107.58,0.231863,31698.07
2020-07-01,TER,SELL,81.02,3.652102,31698.07
2020-07-01,SNPS,SELL,196.9,0.294106,31698.07
2020-07-01,TTD,SELL,42.91,12.164066,31698.07
2020-07-01,VEEV,SELL,242.22,0.414664,31698.07
2020-07-01,WSM,SELL,37.74,0.146792,31698.07
2020-07-01,TYL,BUY,350.32,0.470674,31698.07
2020-07-01,VRTX,BUY,286.28,0.221162,31698.07
2020-07-01,TGT,BUY,100.62,0.677363,31698.07
2020-07-01,SPGI,BUY,301.03,0.092329,31698.07
2020-07-01,NOW,BUY,83.36,19.013214,31698.07
2020-07-01,SBAC,BUY,276.5,0.505301,31698.07
2020-07-01,TDY,BUY,304.19,1.037863,31698.07
2020-07-01,TMUS,BUY,101.49,15.616123,31698.07
2020-07-01,SMCI,BUY,2.79,567.252547,31698.07
2020-07-01,SHW,BUY,182.55,0.406554,31698.07
2020-07-01,UNH,BUY,268.69,5.898685,31698.07
2020-07-01,VRT,BUY,13.9,114.053879,31698.07
2020-08-03,UNH,SELL,273.99,5.898685,34271.36
2020-08-03,TDY,SELL,310.62,5.210242,34271.36
2020-08-03,SHW,SELL,202.65,8.681921,34271.36
2020-08-03,TSLA,SELL,99.0,3.924635,34271.36
2020-08-03,WST,SELL,274.42,0.912629,34271.36
2020-08-03,SMCI,SELL,3.03,1.905132,34271.36
2020-08-03,TTD,SELL,47.53,0.881258,34271.36
2020-08-03,SWKS,SELL,125.83,1.114256,34271.36
2020-08-03,TER,SELL,88.2,0.134211,34271.36
2020-08-03,VEEV,SELL,268.06,0.150761,34271.36
2020-08-03,VRTX,BUY,279.52,0.594194,34271.36
2020-08-03,TYL,BUY,363.97,0.183833,34271.36
2020-08-03,SNPS,BUY,202.8,0.400264,34271.36
2020-08-03,NOW,BUY,87.99,0.46092,34271.36
2020-08-03,TGT,BUY,108.13,0.095768,34271.36
2020-08-03,SPGI,BUY,315.57,0.1651,34271.36
2020-08-03,VRT,BUY,14.93,0.715032,34271.36
2020-08-03,TMO,BUY,412.4,4.155139,34271.36
2020-08-03,TMUS,BUY,102.21,1.149258,34271.36
2020-08-03,WSM,BUY,38.9,2.047026,34271.36
2020-08-03,TSCO,BUY,26.68,64.22292,34271.36
2020-08-03,SBAC,BUY,280.21,0.383349,34271.36
2020-08-03,ZBRA,BUY,280.72,6.104189,34271.36
2020-09-01,SBAC,SELL,281.76,6.115396,36492.38
2020-09-01,TGT,SELL,127.97,15.846625,36492.38
2020-09-01,TSLA,SELL,158.35,5.786072,36492.38
2020-09-01,NOW,SELL,99.44,1.124823,36492.38
2020-09-01,VEEV,SELL,294.08,0.187981,36492.38
2020-09-01,VRT,SELL,16.35,3.192126,36492.38
2020-09-01,SNPS,SELL,225.34,0.352364,36492.38
2020-09-01,TMUS,SELL,111.79,0.44365,36492.38
2020-09-01,SWKS,BUY,125.63,0.905325,36492.38
2020-09-01,WST,BUY,277.48,0.331287,36492.38
2020-09-01,TTD,BUY,50.14,0.340383,36492.38
2020-09-01,TER,BUY,83.4,2.449188,36492.38
2020-09-01,SMCI,BUY,2.71,108.68984,36492.38
2020-09-01,VRTX,BUY,275.49,0.492782,36492.38
2020-09-01,TMO,BUY,426.8,0.11994,36492.38
2020-09-01,TSCO,BUY,27.04,3.250213,36492.38
2020-09-01,TYL,BUY,347.62,0.540897,36492.38
2020-09-01,URI,BUY,176.03,10.365403,36492.38
2020-09-01,ZBRA,BUY,287.16,0.249826,36492.38
2020-09-01,WSM,BUY,39.4,2.268577,36492.38
2020-09-01,SPGI,BUY,332.13,0.063699,36492.38
2020-09-01,UNH,BUY,282.31,6.463069,36492.38
2020-10-01,ZBRA,SELL,258.48,6.354015,36246.44
2020-10-01,WSM,SELL,41.95,46.313516,36246.44
2020-10-01,TYL,SELL,357.26,5.248889,36246.44
2020-10-01,TTD,SELL,55.52,3.746754,36246.44
2020-10-01,SWKS,SELL,130.47,0.632782,36246.44
2020-10-01,VRT,SELL,17.81,9.79126,36246.44
2020-10-01,UNH,SELL,283.7,0.074804,36246.44
2020-10-01,TMO,SELL,431.42,0.07427,36246.44
2020-10-01,TSLA,BUY,149.39,0.609058,36246.44
2020-10-01,WST,BUY,271.61,0.096831,36246.44
2020-10-01,NOW,BUY,98.5,0.049152,36246.44
2020-10-01,CRM,BUY,249.14,7.27432,36246.44
2020-10-01,VEEV,BUY,277.04,0.337236,36246.44
2020-10-01,TSCO,BUY,25.78,2.833679,36246.44
2020-10-01,SNPS,BUY,217.09,0.251071,36246.44
2020-10-01,VRTX,BUY,273.51,0.002987,36246.44
2020-10-01,SPGI,BUY,327.92,0.032885,36246.44
2020-10-01,TER,BUY,79.54,0.908336,36246.44
2020-10-01,TMUS,BUY,110.67,0.053899,36246.44
2020-10-01,URI,BUY,169.1,0.352299,36246.44
2020-10-01,TGT,BUY,134.82,13.442894,36246.44
2020-10-01,WDAY,BUY,220.52,8.218403,36246.44
2020-10-01,SMCI,BUY,2.62,18.74647,36246.44
2020-11-02,TER,SELL,87.75,22.785896,34923.47
2020-11-02,UNH,SELL,282.82,6.388265,34923.47
2020-11-02,URI,SELL,185.8,10.717702,34923.47
2020-11-02,SMCI,SELL,2.3,692.783725,34923.47
2020-11-02,TTD,SELL,55.92,1.415945,34923.47
2020-11-02,NOW,SELL,95.2,0.056305,34923.47
2020-11-02,VEEV,SELL,268.04,0.027135,34923.47
2020-11-02,WST,SELL,267.29,0.139551,34923.47
2020-11-02,VRT,SELL,17.32,0.954949,34923.47
2020-11-02,SNPS,SELL,215.78,0.255874,34923.47
2020-11-02,TGT,SELL,131.24,0.137465,34923.47
2020-11-02,TMO,SELL,473.12,0.510025,34923.47
2020-11-02,TSLA,BUY,133.5,0.947872,34923.47
2020-11-02,SWKS,BUY,121.91,0.432829,34923.47
2020-11-02,CRM,BUY,228.5,0.367681,34923.47
2020-11-02,TSCO,BUY,24.21,1.826332,34923.47
2020-11-02,UPS,BUY,125.12,13.95578,34923.47
2020-11-02,SPGI,BUY,295.64,0.379781,34923.47
2020-11-02,TMUS,BUY,105.57,0.165541,34923.47
2020-11-02,VRTX,BUY,207.42,1.792375,34923.47
2020-11-02,WSM,BUY,41.44,42.141158,34923.47
2020-11-02,TTWO,BUY,154.03,11.33658,34923.47
2020-11-02,SBAC,BUY,269.73,6.473901,34923.47
2020-11-02,WDAY,BUY,205.48,0.279619,34923.47
2020-12-01,SBAC,SELL,265.78,6.473901,39352.6
2020-12-01,VRTX,SELL,230.3,8.418539,39352.6
2020-12-01,TGT,SELL,152.83,13.305428,39352.6
2020-12-01,SPGI,SELL,302.01,5.906438,39352.6
2020-12-01,WDAY,SELL,225.7,8.498021,39352.6
